,Date,Close/Last,Volume,Open,High,Low
52,2020-03-10,285.34,71322520,277.14,286.44,269.37
53,2020-03-09,266.17,71686210,263.75,278.09,263.0
54,2020-03-06,289.03,56544250,282.0,290.82,281.23
55,2020-03-05,292.92,46893220,295.52,299.55,291.41
56,2020-03-04,302.74,54794570,296.44,303.4,293.13
57,2020-03-03,289.32,79868850,303.67,304.0,285.8
58,2020-03-02,298.81,85349340,282.28,301.44,277.72
59,2020-02-28,273.36,106721200,257.26,278.41,256.37
60,2020-02-27,273.52,80151380,281.1,286.0,272.96
61,2020-02-26,292.65,49678430,286.53,297.88,286.5
62,2020-02-25,288.08,57668360,300.95,302.53,286.13
63,2020-02-24,298.18,55548830,297.26,304.18,289.23
64,2020-02-21,313.05,32426420,318.62,320.45,310.5
65,2020-02-20,320.3,25141490,322.63,324.65,318.21
66,2020-02-19,323.62,23495990,320.0,324.57,320.0
67,2020-02-18,319.0,38190550,315.36,319.75,314.61
68,2020-02-14,324.95,20028450,324.74,325.98,322.85
69,2020-02-13,324.87,23686890,324.19,326.22,323.35
70,2020-02-12,327.2,28432570,321.47,327.22,321.47
71,2020-02-11,319.61,23580780,323.6,323.9,318.71
72,2020-02-10,321.55,27337220,314.18,321.55,313.85
73,2020-02-07,320.03,29421010,322.37,323.4,318.0
74,2020-02-06,325.21,26356390,322.57,325.22,320.2648
75,2020-02-05,321.45,29706720,323.52,324.76,318.95
76,2020-02-04,318.85,34154130,315.31,319.64,313.6345
77,2020-02-03,308.66,43496400,304.3,313.49,302.22
78,2020-01-31,309.51,49897100,320.93,322.68,308.29
79,2020-01-30,323.87,31685810,320.544,324.09,318.75
80,2020-01-29,324.34,54149930,324.45,327.85,321.38
81,2020-01-28,317.69,40558490,312.6,318.4,312.19
82,2020-01-27,308.95,40485010,310.06,311.77,304.88
83,2020-01-24,318.31,36634380,320.25,323.33,317.5188
84,2020-01-23,319.23,26117990,317.92,319.56,315.65
85,2020-01-22,317.7,25458120,318.58,319.99,317.31
86,2020-01-21,316.57,27710810,317.19,319.02,316.0
87,2020-01-17,318.73,34454120,316.27,318.74,315.0
88,2020-01-16,315.24,27207250,313.59,315.7,312.09
89,2020-01-15,311.34,30480880,311.85,315.5,309.55
90,2020-01-14,312.68,40653460,316.7,317.57,312.17
91,2020-01-13,316.96,30521720,311.64,317.07,311.15
92,2020-01-10,310.33,35217270,310.6,312.67,308.25
93,2020-01-09,309.63,42621540,307.235,310.43,306.2
94,2020-01-08,303.19,33090950,297.16,304.4399,297.156
95,2020-01-07,298.39,27877660,299.84,300.9,297.48
96,2020-01-06,299.8,29644640,293.79,299.96,292.75
97,2020-01-03,297.43,36633880,297.15,300.58,296.5
98,2020-01-02,300.35,33911860,296.24,300.6,295.19
99,2019-12-31,293.65,25247630,289.93,293.68,289.52
100,2019-12-30,291.52,36059610,289.46,292.69,285.22
101,2019-12-27,289.8,36592940,291.12,293.97,288.12
102,2019-12-26,289.91,23334000,284.82,289.98,284.7
103,2019-12-24,284.27,12119710,284.69,284.89,282.9197
104,2019-12-23,284.0,24677880,280.53,284.25,280.3735
105,2019-12-20,279.44,69032740,282.23,282.65,278.56
106,2019-12-19,280.02,24626950,279.5,281.18,278.95
107,2019-12-18,279.74,29024690,279.8,281.9,279.12
108,2019-12-17,280.41,28575800,279.57,281.77,278.8
109,2019-12-16,279.86,32081110,277.0,280.79,276.98
110,2019-12-13,275.15,33432810,271.46,275.3,270.93
111,2019-12-12,271.46,34437040,267.78,272.5599,267.321
112,2019-12-11,270.77,19723390,268.81,271.1,268.5
113,2019-12-10,268.48,22632380,268.6,270.07,265.86
114,2019-12-09,266.92,32182650,270.0,270.8,264.91
115,2019-12-06,270.71,26547490,267.48,271.0,267.3
116,2019-12-05,265.58,18661340,263.79,265.89,262.73
117,2019-12-04,261.74,16810390,261.07,263.31,260.68
118,2019-12-03,259.45,29377270,258.31,259.53,256.29
119,2019-12-02,264.16,23693550,267.27,268.25,263.45
120,2019-11-29,267.25,11654360,266.6,268.0,265.9
121,2019-11-27,267.84,16386120,265.58,267.98,265.31
122,2019-11-26,264.29,26334880,266.94,267.16,262.5
123,2019-11-25,266.37,21029520,262.71,266.44,262.52
124,2019-11-22,261.78,16331260,262.59,263.18,260.84
125,2019-11-21,262.01,30348780,263.69,264.005,261.18
126,2019-11-20,263.19,26609920,265.54,266.083,260.4
127,2019-11-19,266.29,19069600,267.9,268.0,265.3926
128,2019-11-18,267.1,21700900,265.8,267.43,264.23
129,2019-11-15,265.76,25093670,263.68,265.78,263.01
130,2019-11-14,262.64,22395560,263.75,264.88,262.1
131,2019-11-13,264.47,25817590,261.13,264.78,261.07
132,2019-11-12,261.96,21847230,261.55,262.79,260.92
133,2019-11-11,262.2,20507460,258.3,262.47,258.28
134,2019-11-08,260.14,17520500,258.69,260.44,256.85
135,2019-11-07,259.43,23735080,258.74,260.35,258.11
136,2019-11-06,257.24,18966120,256.77,257.49,255.365
137,2019-11-05,257.13,19974430,257.05,258.19,256.32
138,2019-11-04,257.5,25817950,257.33,257.845,255.38
139,2019-11-01,255.82,37781330,249.54,255.93,249.16
140,2019-10-31,248.76,34790520,247.24,249.17,237.26
141,2019-10-30,243.26,31130520,244.76,245.3,241.21
142,2019-10-29,243.29,35709870,248.97,249.75,242.57
143,2019-10-28,249.05,24143240,247.42,249.25,246.72
144,2019-10-25,246.58,18369300,243.16,246.73,242.88
145,2019-10-24,243.58,17916260,244.51,244.8,241.805
146,2019-10-23,243.18,19932550,242.1,243.24,241.22
147,2019-10-22,239.96,22684000,241.16,242.2,239.6218
148,2019-10-21,240.51,22367480,237.52,240.99,237.32
149,2019-10-18,236.41,24377170,234.59,237.58,234.29
150,2019-10-17,235.28,17272900,235.09,236.15,233.52
151,2019-10-16,234.37,19286690,233.37,235.24,233.2
152,2019-10-15,235.32,23040480,236.39,237.65,234.88
153,2019-10-14,235.87,24413480,234.9,238.1342,234.6701
154,2019-10-11,236.21,41990210,232.95,237.64,232.3075
155,2019-10-10,230.09,28962980,227.93,230.44,227.3
156,2019-10-09,227.03,19029420,227.03,227.79,225.64
157,2019-10-08,224.4,29282700,225.82,228.06,224.33
158,2019-10-07,227.06,30889270,226.27,229.93,225.84
159,2019-10-04,227.01,34755550,225.64,227.49,223.89
160,2019-10-03,220.82,30352690,218.43,220.96,215.132
161,2019-10-02,218.96,35767260,223.06,223.58,217.93
162,2019-10-01,224.59,36187160,225.07,228.22,224.2
163,2019-09-30,223.97,26318580,220.9,224.58,220.79
164,2019-09-27,218.82,25361290,220.54,220.96,217.2814
165,2019-09-26,219.89,19088310,220.0,220.94,218.83
166,2019-09-25,221.03,22481010,218.55,221.5,217.1402
167,2019-09-24,217.68,31434370,221.03,222.49,217.19
168,2019-09-23,218.72,19419650,218.95,219.84,217.65
169,2019-09-20,217.73,57977090,221.38,222.56,217.473
170,2019-09-19,220.96,22187880,222.01,223.76,220.37
171,2019-09-18,222.77,25643090,221.06,222.85,219.44
172,2019-09-17,220.7,18386470,219.96,220.82,219.12
173,2019-09-16,219.9,21158140,217.73,220.13,217.56
174,2019-09-13,218.75,39763300,220.0,220.79,217.02
175,2019-09-12,223.085,32226670,224.8,226.42,222.86
176,2019-09-11,223.59,44289650,218.07,223.71,217.73
177,2019-09-10,216.7,31777930,213.86,216.78,211.71
178,2019-09-09,214.17,27309400,214.84,216.44,211.07
179,2019-09-06,213.26,19362290,214.05,214.42,212.51
180,2019-09-05,213.28,23946880,212.0,213.97,211.51
181,2019-09-04,209.19,19216820,208.39,209.48,207.32
182,2019-09-03,205.7,20059570,206.43,206.98,204.22
183,2019-08-30,208.74,21162560,210.16,210.45,207.2
184,2019-08-29,209.01,21007650,208.5,209.32,206.655
185,2019-08-28,205.53,15957630,204.1,205.72,203.32
186,2019-08-27,204.16,25897340,207.86,208.55,203.53
187,2019-08-26,206.49,26066130,205.86,207.19,205.0573
188,2019-08-23,202.64,46882840,209.43,212.051,201.0
189,2019-08-22,212.46,22267820,213.19,214.435,210.75
190,2019-08-21,212.64,21564750,212.99,213.65,211.6032
191,2019-08-20,210.36,26919530,210.88,213.35,210.32
192,2019-08-19,210.35,24431920,210.62,212.7307,210.025
